                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3839,                 5.0378,                 1.8081,                0.25688,                0.90323,                0.28146,                0.16244,                 1.2725,                 48.684,                 1.6136,                0.00016,                0.00016,                0.00016
                      2,                 1.5794,                 3.4081,                 1.7201,                0.00812,                0.87097,                0.01017,                0.00535,                 1.8901,                    inf,                 5.9174,             0.00033663,             0.00033663,             0.00033663
                      3,                  1.586,                 1.5671,                 1.7496,                0.00135,                0.09677,                0.00058,                0.00014,                  5.058,                    inf,                 111.93,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.5511,                 1.4109,                 1.6905,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.5897,                 1.3986,                 1.7033,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.6009,                 1.4023,                 1.7531,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.7175,                 1.4084,                 1.7225,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.6055,                 1.2525,                 1.6686,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.6234,                 1.1666,                 1.6336,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.5996,                 1.2206,                 1.6131,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.5969,                 1.1898,                 1.6332,                 0.0005,                0.03226,                0.00026,                 0.0001,                 5.7521,                 3361.5,                   1905,               0.001766,               0.001766,               0.001766
                     12,                 1.6475,                 1.2516,                  1.688,                 0.0005,                0.03226,                0.00026,                 0.0001,                 4.6734,                    inf,                 849.57,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5278,                 1.1502,                 1.5575,                0.00063,                0.12903,                0.00068,                0.00019,                 5.0429,                    inf,                  361.3,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5932,                 1.1922,                 1.5878,                0.00061,                0.03226,                0.00015,                  6e-05,                 5.2497,                    inf,                 127.15,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6311,                 1.1815,                 1.6844,                 0.0012,                0.06452,                0.00048,                  8e-05,                 5.1023,                 559.03,                 139.75,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7042,                 1.1405,                   1.65,                0.11111,                0.09677,                0.03196,                0.00378,                 4.2906,                 33.689,                 17.608,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6093,                 1.1582,                 1.6532,                0.02552,                0.16129,                0.00826,                0.00179,                 3.9994,                 52.501,                 18.444,               0.001703,               0.001703,               0.001703
                     18,                 1.5396,                 1.0061,                 1.6173,                0.01734,                0.03226,                0.00121,                0.00012,                 5.4761,                 8.2065,                  34.31,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5553,                0.99827,                 1.5371,                0.01734,                0.03226,                0.00121,                0.00012,                 5.6051,                 7.6202,                 14.487,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5649,                 1.0142,                 1.6048,                0.00026,                0.03226,                0.00014,                  1e-05,                 5.4271,                 319.75,                 9.1528,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4979,                 1.0433,                 1.6094,                0.26029,                0.41935,                0.20028,                0.06861,                 2.0714,                 7.8688,                  2.303,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4653,                 1.0131,                  1.513,                0.86895,                0.77419,                0.87674,                0.49375,                 1.4211,                 1.6817,                 1.7057,               0.001604,               0.001604,               0.001604
                     23,                 1.4735,                0.97527,                 1.5096,                0.43067,                0.45161,                0.30408,                0.12517,                 2.0489,                 3.1784,                 2.1783,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4757,                 1.0029,                  1.556,                0.47277,                0.54839,                0.49774,                0.25307,                 1.7947,                  1.904,                 1.9774,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5159,                 1.0185,                 1.5764,                0.86776,                0.54839,                0.78087,                0.39663,                 1.7125,                 1.8025,                 1.8263,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3749,                0.90869,                 1.4758,                0.51503,                0.51613,                0.40926,                  0.118,                 2.7007,                 2.0264,                 2.5798,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4604,                0.99076,                 1.4771,                  0.542,                0.45161,                   0.45,                0.18585,                 2.5636,                 1.8111,                 2.3761,               0.001505,               0.001505,               0.001505
                     28,                 1.4371,                0.98367,                 1.4964,                0.85497,                0.87097,                0.89264,                0.57538,                 1.3649,                 1.3902,                 1.5947,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4534,                0.93285,                 1.5178,                0.82972,                0.96774,                0.94857,                0.52286,                 1.6486,                 1.2292,                 1.8082,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4331,                0.87484,                 1.4896,                0.91545,                0.90323,                0.95687,                0.56655,                 1.4685,                 1.2645,                 1.7015,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5035,                 1.0657,                 1.5752,                0.86413,                0.77419,                0.91813,                0.52358,                 1.5321,                 1.4792,                  1.767,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4434,                0.99259,                 1.5768,                0.98143,                0.80645,                0.94467,                 0.5411,                 1.4607,                  1.264,                 1.6329,               0.001406,               0.001406,               0.001406
                     33,                  1.462,                0.96907,                 1.5074,                0.93216,                0.88677,                0.95616,                0.56344,                 1.4982,                  1.033,                 1.6593,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3971,                 0.8787,                 1.4817,                      1,                0.89717,                0.95184,                0.53881,                 1.5846,                0.89244,                 1.7056,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5001,                0.94334,                 1.5605,                0.99377,                0.87097,                0.96166,                0.55233,                 1.5416,                0.83228,                 1.6366,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3782,                0.86567,                  1.437,                0.97226,                0.77419,                0.86609,                0.54623,                 1.3997,                  1.199,                 1.6002,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3936,                0.87354,                 1.4895,                0.97269,                0.87097,                0.96469,                0.56193,                 1.4768,                0.68588,                 1.6315,               0.001307,               0.001307,               0.001307
                     38,                 1.5161,                 0.9598,                 1.5595,                0.96039,                0.93548,                0.97881,                 0.5936,                 1.3886,                0.69465,                 1.5297,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3974,                0.85989,                 1.4947,                0.93487,                0.92621,                0.97139,                0.58855,                 1.4296,                0.71424,                 1.5566,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3526,                0.83497,                 1.4365,                0.96299,                0.93548,                0.97526,                0.58764,                 1.4267,                0.80841,                  1.587,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4001,                0.86084,                 1.4818,                      1,                0.92277,                0.97794,                0.61102,                 1.3855,                0.73267,                 1.5337,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3166,                0.80974,                 1.3961,                0.98664,                0.90323,                0.97776,                0.63164,                 1.3345,                0.73584,                 1.4742,               0.001208,               0.001208,               0.001208
                     43,                 1.3516,                0.84734,                 1.4427,                0.90693,                0.77419,                 0.8925,                0.53713,                 1.4848,                0.85161,                 1.5705,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3537,                  0.819,                  1.471,                0.95503,                0.96774,                0.99139,                0.60599,                 1.4161,                0.65196,                 1.5751,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3923,                0.86776,                 1.4802,                0.93534,                0.93336,                0.98061,                0.59902,                  1.398,                0.66032,                 1.5913,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3966,                0.91106,                 1.4609,                0.93144,                0.93548,                0.96639,                0.54404,                 1.4588,                0.75585,                 1.6443,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3395,                0.82255,                 1.4547,                0.92826,                0.93548,                0.96601,                0.57386,                 1.4281,                0.69925,                 1.6273,               0.001109,               0.001109,               0.001109
                     48,                 1.3418,                0.86573,                 1.4487,                0.95506,                0.93548,                0.97688,                 0.6233,                 1.4036,                0.63954,                 1.5526,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2451,                0.77243,                 1.4109,                0.93506,                0.92908,                0.98364,                0.57871,                 1.5288,                0.67483,                 1.6373,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4043,                0.85129,                 1.5001,                0.86666,                0.93548,                0.97035,                0.57088,                 1.5175,                0.79539,                 1.6206,              0.0010496,              0.0010496,              0.0010496
